"sound.files","55khz.call.count"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-1.wav",443
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-2.wav",786
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-3.wav",696
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 145-4.wav",214
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109-1.wav",328
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109-2.wav",288
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109-3.wav",166
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109-4.wav",33
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92-1.wav",386
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92-2.wav",324
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92-3.wav",528
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92-4.wav",193
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144-1.wav",385
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144-2.wav",332
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144-3.wav",171
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144-4.wav",33
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103-1.wav",285
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103-2.wav",213
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103-3.wav",166
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103-4.wav",22
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001id 101-1.wav",4
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 110-1.wav",10
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 id 127-1.wav",2
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101-1.wav",147
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101-2.wav",220
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101-3.wav",156
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 101-4.wav",80
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115-1.wav",650
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115-2.wav",826
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115-3.wav",681
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 115-4.wav",283
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110-1.wav",473
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110-2.wav",299
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110-3.wav",224
"B_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 110-4.wav",145
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127-1.wav",159
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127-2.wav",71
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127-3.wav",50
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 127-4.wav",28
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 128-1.wav",525
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 128-2.wav",413
"B_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 128-3.wav",201
"C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 129-1.wav",110
"C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 id 122-1.wav",11
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 97-1.wav",514
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 97-2.wav",658
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 97-3.wav",351
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 97-4.wav",48
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 147-1.wav",168
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 147-2.wav",156
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 147-3.wav",143
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 147-4.wav",31
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 129-1.wav",410
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 129-2.wav",736
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 129-3.wav",529
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 129-4.wav",89
"C_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 122-1.wav",226
"C_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 122-2.wav",185
"C_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 122-3.wav",95
"C_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 122-4.wav",26
"C_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 106-1.wav",292
"C_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 106-2.wav",318
"C_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 106-3.wav",238
"C_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 106-4.wav",121
"D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001 93-1.wav",13
"D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 123-1.wav",1
"D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 116-1.wav",1
"D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 105-1.wav",24
"D_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 105-2.wav",4
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 93-1.wav",403
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 93-2.wav",715
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 93-3.wav",421
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 93-4.wav",215
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 123-1.wav",676
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 123-2.wav",723
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 123-3.wav",580
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 123-4.wav",302
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id116-1.wav",669
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id116-2.wav",683
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id116-3.wav",353
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id116-4.wav",142
"D_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 105-1.wav",750
"D_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 105-2.wav",756
"D_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 105-3.wav",532
"D_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 105-4.wav",233
"D_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005-1.wav",1
